id,world_id,country,visit,purchase,download
1668,9,United States,1,0,0
1669,9,United States,2,1,0
1673,1,United States,3,1,15
1675,9,United States,3,1,10
1679,9,United States,1,0,20
1684,9,United States,2,1,0
1686,9,United States,1,1,15
1693,1,United States,1,0,3
1694,1,United States,3,1,10
1695,1,United Kingdom,1,0,20
1699,1,United Kingdom,3,1,50
1700,9,Germany,2,1,4
1702,9,United States,3,1,150
1704,9,United States,2,1,20
1705,9,United Kingdom,0,1,2
1723,1,United States,3,1,30
1724,1,United States,3,1,300
1725,1,United States,3,1,0
1726,9,United States,3,1,0
1728,9,United States,3,1,0
1732,1,United States,1,1,12
1733,1,United States,1,1,30
1734,1,New Zealand,3,1,12
1738,9,United States,3,1,300
1742,9,United States,0,1,1
1752,9,United States,3,1,100
1758,9,Germany,2,1,20
1762,9,United States,3,1,50
1764,9,United States,3,1,50
1766,9,United States,0,0,0
1769,9,United States,3,1,0
1770,9,United States,1,0,2
1772,1,Canada,3,1,40
1779,9,Canada,2,1,20
1780,1,United States,1,1,0
1781,9,United States,3,0,0
1785,9,United States,2,1,100
1788,9,United States,3,1,12
1791,9,Canada,3,1,0
1798,9,United States,2,1,80
1808,9,United States,3,1,0
1810,1,United States,1,0,10
1819,9,United States,2,1,1000
1820,9,United States,1,1,3
1825,9,United States,2,1,40
1832,9,United States,3,1,1200
1836,9,United States,3,1,10
1838,9,United States,1,1,0
1845,1,United States,0,1,25
1848,9,United States,1,1,80
1849,1,United States,2,1,0
1854,1,United States,2,1,8
1856,9,United States,3,1,500
1864,9,United States,3,0,22
1865,9,Norway,3,0,10
1866,9,United States,3,1,10
1867,9,United States,1,1,4
1878,9,United States,3,0,0
1881,9,United States,3,1,40
1883,9,United Kingdom,2,1,6
1884,9,United States,3,0,0
1893,1,United Kingdom,1,0,0
1896,9,United States,2,0,50
1898,1,United States,1,1,25
1901,9,United States,3,1,100
1904,9,Mexico,3,1,15
1905,9,Brunei,3,1,6
1912,1,United States,2,0,50
1914,1,United States,3,1,20
1915,9,United States,3,1,25
1917,1,United States,1,1,3
1924,9,Germany,0,1,0
1925,9,United States,2,1,50
1926,1,United States,3,0,0
